category_code,model_name,regist_country,create_dt_utc,device_id,event_type,mon_data,State,Remain_Time_H,Remain_Time_M,Initial_Time_H,Initial_Time_M,APCourse,Error,SoilLevel,SpinSpeed,WaterTemp,RinseCount,DryLevel,Reserve_Time_H,Reserve_Time_M,FreshCare,ChildLock,Steam,RemoteStart,TurboShot,InitialBit,PreState,SmartCourse,TCLCount,OPCourse,LoadLevel
201,LG_WM_KR,KR,18/11/2017 13:20,A1,WM_STATE,KAALARIBAAAEAAAAAAAAhAABZR4/BBUB,40,0,11,1,18,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,63,4,21,1
201,LG_WM_KR,KR,18/11/2017 13:30,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAABeig/BRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,5,21,0
201,LG_WM_KR,KR,18/11/2017 13:30,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAABeig/BRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,5,21,0
201,LG_WM_KR,KR,18/11/2017 21:09,A1,COMMON_WIFI_ON,BQEPAQ8BAAEEAwQAAAAAAAAAADw/BRUA,5,1,15,1,15,1,0,1,4,3,4,0,0,0,0,0,0,0,0,0,60,63,5,21,0
201,LG_WM_KR,KR,18/11/2017 21:09,A1,WM_WASH_BEGIN,FAEPAQ8BAAEEAgQAAAAAgAAAAAU/BRUA,20,1,15,1,15,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,5,63,5,21,0
201,LG_WM_KR,KR,18/11/2017 21:09,A1,WM_STATE,FAEPAQ8BAAEEAgQAAAAAgAAAAAU/BRUA,20,1,15,1,15,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,5,63,5,21,0
201,LG_WM_KR,KR,18/11/2017 21:10,A1,WM_STATE,FwESARIBAAEEAgQAAAAAhAAAABQ/BRUB,23,1,18,1,18,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,20,63,5,21,1
201,LG_WM_KR,KR,18/11/2017 21:24,A1,WM_STATE,HgA7ARIBAAAEAAQAAAAAhAABSxc/BRUB,30,0,59,1,18,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,23,63,5,21,1
201,LG_WM_KR,KR,18/11/2017 22:10,A1,WM_STATE,KAALARIBAAAEAAAAAAAAhAABlR4/BRUB,40,0,11,1,18,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,63,5,21,1
201,LG_WM_KR,KR,18/11/2017 22:19,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAABpyg/BhUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,6,21,0
201,LG_WM_KR,KR,18/11/2017 22:19,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAABpyg/BhUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,6,21,0
201,LG_WM_KR,KR,18/11/2017 22:21,A1,COMMON_WIFI_ON,BQEIAQgBAAAFAAEHAAAAAAAAADw/BhUF,5,1,8,1,8,1,0,0,5,0,1,7,0,0,0,0,0,0,0,0,60,63,6,21,5
201,LG_WM_KR,KR,18/11/2017 22:21,A1,WM_WASH_BEGIN,HgEIAQgBAAAEAAEHAAAAAAAAAAU/BhUF,30,1,8,1,8,1,0,0,4,0,1,7,0,0,0,0,0,0,0,0,5,63,6,21,5
201,LG_WM_KR,KR,18/11/2017 22:21,A1,WM_STATE,HgEIAQgBAAAEAAEHAAAAAAAAAAU/BhUF,30,1,8,1,8,1,0,0,4,0,1,7,0,0,0,0,0,0,0,0,5,63,6,21,5
201,LG_WM_KR,KR,18/11/2017 22:29,A1,WM_STATE,KAA5AQgBAAAEAAAHAAAABAAADR4/BhUF,40,0,57,1,8,1,0,0,4,0,0,7,0,0,0,0,0,0,0,0,30,63,6,21,5
201,LG_WM_KR,KR,18/11/2017 22:57,A1,WM_STATE,MgAeAQgBAAAAAAAHAAAABAABASg/BhUF,50,0,30,1,8,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,40,63,6,21,5
201,LG_WM_KR,KR,18/11/2017 23:29,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAADpzI/BhUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,6,21,0
201,LG_WM_KR,KR,18/11/2017 23:29,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAADpzI/BhUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,6,21,0
201,LG_WM_KR,KR,19/11/2017 0:02,A1,WM_STATE,FAEPAQ8BAAIEAgQAAAAAgAAAADw/BhUA,20,1,15,1,15,1,0,2,4,2,4,0,0,0,0,0,0,0,0,0,60,63,6,21,0
201,LG_WM_KR,KR,19/11/2017 0:02,A1,WM_WASH_BEGIN,FAEPAQ8BAAIEAgQAAAAAgAAAADw/BhUA,20,1,15,1,15,1,0,2,4,2,4,0,0,0,0,0,0,0,0,0,60,63,6,21,0
201,LG_WM_KR,KR,19/11/2017 0:02,A1,COMMON_WIFI_ON,FAEPAQ8BAAIEAgQAAAAAgAAAADw/BhUA,20,1,15,1,15,1,0,2,4,2,4,0,0,0,0,0,0,0,0,0,60,63,6,21,0
201,LG_WM_KR,KR,19/11/2017 0:02,A1,WM_STATE,FwESARIBAAIEAgQAAAAAhAAAABQ/BhUB,23,1,18,1,18,1,0,2,4,2,4,0,0,0,0,0,0,0,0,0,20,63,6,21,1
201,LG_WM_KR,KR,19/11/2017 0:18,A1,WM_STATE,HgA7ARIBAAAEAAQAAAAAhAABKBc/BhUB,30,0,59,1,18,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,23,63,6,21,1
201,LG_WM_KR,KR,19/11/2017 1:18,A1,WM_STATE,KAALARIBAAAEAAAAAAAAhAABmB4/BhUB,40,0,11,1,18,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,63,6,21,1
201,LG_WM_KR,KR,19/11/2017 1:34,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAABtSg/BxUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,7,21,0
201,LG_WM_KR,KR,19/11/2017 1:34,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAABtSg/BxUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,7,21,0
201,LG_WM_KR,KR,19/11/2017 3:00,A1,COMMON_WIFI_ON,BQALAAsBAAAAAAEAAAAAAAAAADw/BxUF,5,0,11,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,63,7,21,5
201,LG_WM_KR,KR,19/11/2017 3:00,A1,WM_WASH_BEGIN,HgEIAQgBAAAEAAEHAAAAAAAAAAU/BxUF,30,1,8,1,8,1,0,0,4,0,1,7,0,0,0,0,0,0,0,0,5,63,7,21,5
201,LG_WM_KR,KR,19/11/2017 3:00,A1,WM_STATE,HgEIAQgBAAAEAAEHAAAAAAAAAAU/BxUF,30,1,8,1,8,1,0,0,4,0,1,7,0,0,0,0,0,0,0,0,5,63,7,21,5
201,LG_WM_KR,KR,19/11/2017 3:08,A1,WM_STATE,KAA5AQgBAAAEAAAHAAAABAAAFx4/BxUF,40,0,57,1,8,1,0,0,4,0,0,7,0,0,0,0,0,0,0,0,30,63,7,21,5
